127.0.0.1 - - [02/Jun/2023:08:30:06 +0800] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:30:06 +0800] "GET /group5/html/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:30:10 +0800] "GET /group5/html/MemberLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:30:10 +0800] "GET /group5/css/memberlogin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:30:22 +0800] "POST /group5/Main/MemberLogin HTTP/1.1" 200 5839
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:30:23 +0800] "GET /group5/Member/memberMain HTTP/1.1" 200 5389
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:30:24 +0800] "POST /group5/Main/GoBackToHome HTTP/1.1" 200 5839
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:30:25 +0800] "GET /group5/Member/memberMain HTTP/1.1" 200 5389
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:30:25 +0800] "POST /group5/Member/SelectMember HTTP/1.1" 200 16527
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:30:51 +0800] "POST /group5/Main/GoBackToHome HTTP/1.1" 200 5839
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:30:53 +0800] "GET /group5/Member/memberMain HTTP/1.1" 200 5389
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:30:58 +0800] "POST /group5/Main/GoBackToHome HTTP/1.1" 200 5839
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:30:59 +0800] "GET /group5/Member/memberMain HTTP/1.1" 200 5389
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:31:00 +0800] "POST /group5/Member/SelectMember HTTP/1.1" 200 16527
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:31:05 +0800] "POST /group5/Member/SelectMember HTTP/1.1" 200 16527
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:31:07 +0800] "POST /group5/Member/SelectMember HTTP/1.1" 200 16527
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:31:16 +0800] "POST /group5/Member/SelectMember HTTP/1.1" 200 16527
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:31:17 +0800] "POST /group5/Member/SelectMember HTTP/1.1" 200 16527
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:32:39 +0800] "POST /group5/Member/SelectMember HTTP/1.1" 200 16527
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:32:48 +0800] "POST /group5/Member/SelectMember HTTP/1.1" 200 16527
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:33:02 +0800] "POST /group5/Member/SelectMember HTTP/1.1" 200 16527
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:33:04 +0800] "POST /group5/Member/SelectMember HTTP/1.1" 200 16527
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:33:49 +0800] "POST /group5/Member/SelectMember HTTP/1.1" 200 16557
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:34:48 +0800] "POST /group5/Member/SelectMember HTTP/1.1" 200 16557
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:34:53 +0800] "POST /group5/Member/SelectMember HTTP/1.1" 200 16557
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:34:59 +0800] "POST /group5/Member/SelectMember HTTP/1.1" 200 16557
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:35:00 +0800] "POST /group5/Member/SelectMember HTTP/1.1" 200 16557
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:36:06 +0800] "POST /group5/Member/SelectMember HTTP/1.1" 200 16557
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:36:10 +0800] "POST /group5/Member/SelectMember HTTP/1.1" 200 16557
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:36:58 +0800] "POST /group5/Member/SelectMember HTTP/1.1" 200 16557
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:40:09 +0800] "POST /group5/Member/SelectMember HTTP/1.1" 200 16557
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:42:39 +0800] "POST /group5/Member/SelectMember HTTP/1.1" 200 16557
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:43:17 +0800] "POST /group5/Main/GoBackToHome HTTP/1.1" 200 5839
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:43:18 +0800] "GET /group5/Member/memberMain HTTP/1.1" 200 5389
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:43:21 +0800] "POST /group5/Member/SelectMember HTTP/1.1" 200 16557
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:43:46 +0800] "POST /group5/Main/GoBackToHome HTTP/1.1" 200 5839
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:43:49 +0800] "GET /group5/Member/memberMain HTTP/1.1" 200 5389
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:43:50 +0800] "POST /group5/Member/SelectMember HTTP/1.1" 200 16557
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:47:09 +0800] "POST /group5/Main/GoBackToHome HTTP/1.1" 200 5839
0:0:0:0:0:0:0:1 - - [02/Jun/2023:08:47:10 +0800] "GET /group5/Member/memberMain HTTP/1.1" 200 5389
